T,mu,phi,Phi1,Phi2,mass,pressure,rho,entropy,energy,converged
68.0,0.0,-3.9217027189998466,0.0007328784605822576,0.0007328784605822576,1.531036066399674,18.273281934997186,1.8371576811037478e-17,6.342207942781905e-5,-18.27326007972226,1.0
69.0,0.0,-3.921698553904926,0.0007980630761189897,0.0007980630761189897,1.5310344672539178,18.273282283899462,6.979701729525329e-17,7.452940151458339e-5,-18.273256223347573,1.0
70.0,0.0,-3.9216937531319687,0.0008673465841841815,0.0008673465841841813,1.531032624046056,18.273282693092824,5.47019781924212e-17,8.724589148129788e-5,-18.273251743858527,1.0
71.0,0.0,-3.9216882391953516,0.0009408714982380003,0.0009408714982380003,1.5310305070262735,18.27328317119031,-3.1203397660626913e-17,0.00010175482369018466,-18.27324655946132,1.0
72.0,0.0,-3.921681927657205,0.001018780149167836,0.001018780149167836,1.5310280837755108,18.27328372777084,-5.3620684231947214e-17,0.00011825431914254218,-18.27324058019582,1.0
73.0,0.0,-3.921674726752731,0.0011012145720962784,0.0011012145720962784,1.5310253190616083,18.273284373456413,-1.0945839407490727e-16,0.00013695798452846775,-18.27323370740021,1.0
74.0,0.0,-3.9216665370134485,0.0011883164017797636,0.0011883164017797636,1.5310221746946564,18.27328511999233,-6.080571225661899e-17,0.00015809554352201328,-18.273225833162044,1.0
75.0,0.0,-3.9216572508886656,0.0012802267766894692,0.0012802267766894692,1.531018609381663,18.27328598032988,6.547873479649824e-17,0.00018191345493629707,-18.27321683975764,1.0
76.0,0.0,-3.9216467523668457,0.0013770862518277009,0.0013770862518277009,1.53101457858118,18.273286968713403,-1.2418736444926129e-17,0.00020867552398747962,-18.27320659907968,1.0
77.0,0.0,-3.9216349165966364,0.001479034720298923,0.001479034720298923,1.5310100343578033,18.273288100768617,5.4184044554437844e-17,0.00023866349170128861,-18.273194972056,1.0
78.0,0.0,-3.921621609509028,0.0015862113436211733,0.0015862113436211735,1.5310049252371027,18.27328939359635,2.675557888218947e-17,0.00027217762130396815,-18.273181808057092,1.0
79.0,0.0,-3.9216066874405007,0.0016987544907358513,0.0016987544907358513,1.5309991960609333,18.27329086586705,-8.600282259760508e-17,0.00030953726103953697,-18.273166944295966,1.0
80.0,0.0,-3.921589996758883,0.0018168016856447502,0.0018168016856447504,1.5309927878437881,18.273292537918724,-7.17026247151616e-17,0.0003510813930238268,-18.273150205219988,1.0
81.0,0.0,-3.9215713734911435,0.0019404895635823528,0.0019404895635823528,1.530985637629893,18.273294431858584,-1.365252552510654e-16,0.0003971691697646106,-18.273131401894812,1.0
82.0,0.0,-3.9215506429551037,0.0020699538356068093,0.002069953835606809,1.5309776783518048,18.27329657166578,-2.9166115295774027e-17,0.0004481804311217253,-18.273110331381222,1.0
83.0,0.0,-3.9215276193930273,0.0022053292614794035,0.0022053292614794035,1.5309688386897338,18.273298983297423,5.857140812245501e-17,0.0005045162053356858,-18.273086776106204,1.0
84.0,0.0,-3.9215021056116286,0.0023467496306775137,0.0023467496306775137,1.5309590429333269,18.27330169479902,3.302684673660041e-17,0.000566599196948161,-18.27306050322884,1.0
85.0,0.0,-3.9214738926233284,0.002494347751385624,0.002494347751385624,1.5309482108439323,18.273304736412747,-5.399829551235213e-17,0.0006348742534073165,-18.273031263998316,1.0
86.0,0.0,-3.9214427592941834,0.0026482554472821397,0.0026482554472821397,1.530936257519426,18.27330814069233,2.9330238374426436e-17,0.0007098088212629913,-18.272998793108947,1.0
87.0,0.0,-3.921408471994796,0.002808603561944991,0.002808603561944991,1.5309230932601812,18.27331194261919,-4.98096407527353e-18,0.0007918933886721248,-18.2729628080486,1.0
88.0,0.0,-3.9213707842569616,0.0029755219706807585,0.0029755219706807585,1.5309086234372418,18.273316179719433,-5.364443061742305e-17,0.0008816419078575012,-18.272923008443442,1.0
89.0,0.0,-3.9213294364336067,0.003149139599586079,0.0031491395995860787,1.5308927483617596,18.273320892183644,8.118677610973637e-17,0.0009795922102616376,-18.272879075395963,1.0
90.0,0.0,-3.921284155365234,0.003329584451636826,0.0033295844516368278,1.5308753631569287,18.27332612298968,-5.512999098696278e-17,0.0010863064089274431,-18.272830670819186,1.0
91.0,0.0,-3.921234654048445,0.0035169836396129117,0.0035169836396129117,1.5308563576307188,18.27333191802601,2.8211783972951184e-17,0.0012023712895804213,-18.272777436764407,1.0
92.0,0.0,-3.9211806313110187,0.003711463425649826,0.003711463425649826,1.530835616151124,18.27333832621874,-1.63623892725926e-17,0.0013283986939514126,-18.27271899474434,1.0
93.0,0.0,-3.92112177148933,0.003913149267226117,0.003913149267226117,1.5308130175223122,18.273345399658137,-3.4883342897999717e-17,0.0014650258925302628,-18.27265494504908,1.0
94.0,0.0,-3.92105774411084,0.004122165869386036,0.004122165869386037,1.5307884348627188,18.27335319372944,-5.432673375562052e-17,0.001612915955465158,-18.272584866055933,1.0
95.0,0.0,-3.920988203578928,0.004338637243009796,0.004338637243009796,1.5307617354840428,18.273361767244385,8.923418066440319e-18,0.0017727581193161277,-18.272508313530633,1.0
96.0,0.0,-3.920912788861525,0.004562686768944067,0.004562686768944067,1.5307327807717,18.27337118257413,8.675035316250112e-17,0.001945268145739535,-18.27242481992278,1.0
97.0,0.0,-3.92083112318188,0.004794437267814131,0.004794437267814131,1.5307014260660956,18.273381505785537,5.879237802181626e-17,0.002131188689735327,-18.27233389364899,1.0
98.0,0.0,-3.920742813711364,0.005034011075346911,0.00503401107534691,1.5306675205446802,18.2733928067775,6.111247073295836e-17,0.002331289660314165,-18.27223501836869,1.0
99.00000000000001,0.0,-3.9206474512635237,0.005281530123041914,0.005281530123041914,1.5306309071044844,18.27340515942101,7.232869480071987e-18,0.0025463685921621668,-18.272127652247118,1.0
99.99999999999999,0.0,-3.92054460998937,0.005537116024033932,0.005537116024033932,1.5305914222451276,18.27341864169864,2.0348194004357157e-17,0.0027772510179305643,-18.2720112272062,1.0
100.99999999999999,0.0,-3.9204338470725415,0.00580089016400669,0.00580089016400669,1.5305488959517797,18.273433335848722,-7.211179094168322e-17,0.003024790853450187,-18.271885148162113,1.0
101.99999999999999,0.0,-3.920314702423285,0.0060729737970245425,0.0060729737970245425,1.5305031515776681,18.273449328509663,1.5782230896121166e-16,0.0032898707953263997,-18.271748792244914,1.0
102.99999999999999,0.0,-3.920186698371883,0.006353488146156552,0.00635348814615655,1.5304540057263714,18.27346671086672,-9.129622958814349e-17,0.0035734027241014934,-18.271601508005613,1.0
104.00000000000001,0.0,-3.9200493393594376,0.006642554508785813,0.006642554508785813,1.5304012681331003,18.273485578801395,8.937009779625741e-17,0.0038763281315669054,-18.271442614600904,1.0
105.00000000000001,0.0,-3.91990211162485,0.006940294366508605,0.006940294366508606,1.5303447415445155,18.273506033041528,1.0116539470818468e-16,0.004199618564401044,-18.271271400956888,1.0
106.00000000000001,0.0,-3.91974448288881,0.00724682949953102,0.00724682949953102,1.5302842215973993,18.273528179316823,-1.0352458288421418e-16,0.0045442760890357006,-18.271087124913347,1.0
107.0,0.0,-3.919575902032224,0.0075622821054977364,0.0075622821054977364,1.5302194966951914,18.273552128512055,-9.142146903937191e-17,0.00491133377687332,-18.270889012340536,1.0
108.0,0.0,-3.919395798768194,0.007886774922693098,0.007886774922693098,1.5301503478820475,18.27357799682808,-8.47583928196878e-17,0.005301856224838198,-18.27067625622968,1.0
109.0,0.0,-3.9192035833074232,0.008220431357568177,0.008220431357568177,1.5300765487143766,18.27360590594092,-3.9804600886288085e-17,0.005716940096797639,-18.27044801575417,1.0
110.0,0.0,-3.918998646015059,0.008563375616564126,0.008563375616564126,1.5299978651290889,18.273635983167416,1.0479421550877865e-16,0.006157714707991075,-18.27020341529695,1.0
111.0,0.0,-3.918780357057911,0.008915732842219784,0.008915732842219784,1.5299140553081483,18.273668361630268,1.260339980354376e-16,0.006625342631659023,-18.26994154344695,1.0
112.0,0.0,-3.918548066042475,0.00927762925355105,0.00927762925355105,1.5298248695395953,18.273703180430374,-1.1541392175483513e-16,0.007121020361632088,-18.269661451952683,1.0
113.0,0.0,-3.9183011016378844,0.00964919229074044,0.009649192290740438,1.5297300500727844,18.273740584819173,-3.4967423123406347e-17,0.00764597900314145,-18.2693621546395,1.0
114.0,0.0,-3.9180387711899334,0.010030550764131273,0.010030550764131273,1.5296293309701907,18.273780726376252,3.104772474806265e-17,0.008201485017331152,-18.26904262628009,1.0
115.0,0.0,-3.9177603603169517,0.010421835007607488,0.010421835007607488,1.5295224379522505,18.273823763189785,4.2473187148500993e-17,0.008788841012032263,-18.268701801418217,1.0
116.0,0.0,-3.9174651324921244,0.010823177036394719,0.010823177036394719,1.529409088236998,18.2738698600435,2.164466769343002e-18,0.00940938658811072,-18.268338573142266,1.0
117.0,0.0,-3.917152328606629,0.011234710709376945,0.011234710709376945,1.5292889903723352,18.27391918860443,9.947943381054746e-18,0.010064499236710432,-18.267951791803664,1.0
118.0,0.0,-3.916821166516616,0.011656571896005894,0.011656571896005894,1.5291618440621007,18.273971927619204,-5.982867311763577e-17,0.010755595304648613,-18.267540263675816,1.0
119.0,0.0,-3.916470840565662,0.012088898647942369,0.012088898647942369,1.529027339982719,18.274028263111507,2.006667046808785e-16,0.011484131017508956,-18.267102749550045,1.0
120.0,0.0,-3.916100521090197,0.012531831375519028,0.012531831375519026,1.5288851595933164,18.274088388589156,9.849128876607071e-17,0.01225160357567066,-18.266637963265687,1.0
121.0,0.0,-3.9157093538964833,0.012985513029215173,0.012985513029215173,1.5287349749349104,18.2741525052527,-3.736809832507216e-17,0.013059552319153452,-18.266144570166208,1.0
122.0,0.0,-3.915296459715474,0.013450089286271604,0.013450089286271604,1.5285764484211097,18.274220822213838,-1.8574271427412763e-17,0.013909559974507664,-18.265621185478977,1.0
