iteration,rho0,B_A,K,m_ratio,E_sym,objective_value,is_best
57,0.17,-17.0,342.57465587728996,0.75,26.1,536.5191436566696,False
58,0.145,-17.0,349.24424368903294,0.75,26.1,522.0395608304525,False
59,0.17,-15.6,380.12861485004606,0.7409080125660492,31.498740487282276,833.7198628039667,False
60,0.1539461556996935,-17.0,359.2906459038902,0.75,26.1,459.90402416370864,False
61,0.17,-17.0,350.2940417218996,0.7182306410527441,30.803502987177286,1151.1952404745073,False
62,0.145,-17.0,366.5670724907569,0.75,27.8904533391447,490.6086162583376,False
63,0.17,-17.0,369.9917010129457,0.7260986028790877,28.088910632695505,763.8719568412178,False
64,0.17,-15.6,342.85374454232965,0.7282999656159286,26.1,997.2014691572192,False
65,0.1545041289430927,-17.0,371.14916991450923,0.75,29.490159944187983,498.8926860146522,False
66,0.17,-17.0,212.0,0.7056231394243873,44.0,1000421.9822369154,False
67,0.145,-17.0,373.6951176603037,0.75,26.1,404.2113075865886,False
68,0.17,-15.6,342.22400427414857,0.7279730190543541,28.195164357849507,1133.6751389752924,False
69,0.17,-17.0,361.2923231733375,0.7410321105598192,31.430439860208935,720.9761271120856,False
70,0.17,-15.6,401.0,0.7156565064118698,26.1,1009.485809022269,False
71,0.17,-15.6,376.0870523172514,0.7218714540519944,26.1,940.0614355860248,False
72,0.15694255569562904,-15.88338153464905,348.87399350966655,0.75,27.830706037279263,664.2332018926218,False
73,0.17,-15.6,401.0,0.7194689827939692,27.914526394714652,1102.1987366460844,False
74,0.145,-17.0,401.0,0.75,32.08084699809352,472.50427520744597,False
75,0.15318394226710252,-16.96859223410304,382.1538678669079,0.75,31.686846761941815,522.896861270724,False
76,0.145,-15.687442651980671,401.0,0.75,30.9392627444212,687.1431641024053,False
77,0.15345375958357366,-17.0,401.0,0.75,31.596885881610604,423.5517424703909,False
78,0.17,-15.6,337.5558180655476,0.7411796254087846,26.1,807.0958600869719,False
79,0.145,-16.018028440258945,354.8543757261715,0.75,30.400982262493297,781.954538456154,False
80,0.145,-17.0,378.08423428300193,0.75,31.158484994073664,545.9022444854448,False
81,0.17,-17.0,401.0,0.7216788003988248,26.1,600.2545210487377,False
82,0.145,-15.6,367.40877363181886,0.75,26.1,559.0831472495646,False
83,0.17,-15.6,339.37966055183733,0.75,29.086870006143194,778.6234170985763,False
84,0.14829235481430605,-17.0,347.76447286246093,0.75,29.04635971680247,622.7410226176418,False
85,0.17,-17.0,345.805437942328,0.7408638027924728,28.864505147108577,720.2323307305775,False
86,0.17,-15.6,337.7328791053838,0.75,27.244189187328182,708.2640037702566,False
87,0.17,-15.6,359.5771160673784,0.7162491479221248,31.29842141799112,1000317.8279729579,False
88,0.145,-15.86685107303508,347.22752333383283,0.7146927023363603,27.31814663888147,1000285.7245949251,False
89,0.145,-15.89094220752053,401.0,0.7466758790000283,26.1,414.73690252089693,False
90,0.145,-15.6,401.0,0.7353898273613658,26.1,729.2341440519652,False
91,0.1522099432010394,-15.6,372.58247228670587,0.7427184175021828,30.02488808239443,882.6238880384819,False
92,0.17,-15.6,336.09075102852256,0.75,33.986554884641365,1066.9669356602278,False
93,0.17,-15.6,361.76824686262546,0.7206871169974667,27.720159901502008,1156.0673306263354,False
94,0.17,-15.6,365.3472890206799,0.75,32.44789573917639,766.6595637460517,False
95,0.17,-16.076463715566835,401.0,0.75,33.99301344699143,558.0146195586697,False
96,0.17,-15.6,401.0,0.75,35.50580082144304,773.4997784604426,False
97,0.17,-16.15248658501701,401.0,0.75,31.6166992414421,447.6925174108755,False
98,0.17,-15.779570956816103,389.7958031421645,0.75,34.19482009398516,682.8716223721406,False
99,0.17,-17.0,401.0,0.7176888282933582,26.1,662.9276439296581,False
100,0.17,-15.6,212.0,0.75,38.356348558871126,1000365.5361851532,False
101,0.17,-17.0,401.0,0.6826880057108754,26.1,1477.4381575132134,False
102,0.17,-17.0,401.0,0.690016008945687,29.389006328197887,1000295.6600192367,False
