idx,rho0,B_A,K,m_ratio,E_sym,objective_value,eval_time_s
124,0.17,-16.613855,401.0,0.7575,25.839000000000002,197.5502023508269,1.972282886505127
125,0.17,-16.613855,401.0,0.7575,26.1,201.24324111730257,1.8881747722625732
126,0.17,-16.613855,401.0,0.7575,26.361,204.97433177640548,1.8711633682250977
127,0.17,-16.613855,403.005,0.7425,25.839000000000002,335.70579521639957,1.8076410293579102
128,0.17,-16.613855,403.005,0.7425,26.1,342.3194424224222,1.799604892730713
129,0.17,-16.613855,403.005,0.7425,26.361,349.11780618554747,1.8115718364715576
130,0.17,-16.613855,403.005,0.75,25.839000000000002,257.1744038091559,1.887838363647461
131,0.17,-16.613855,403.005,0.75,26.1,262.2688834148947,1.848747968673706
132,0.17,-16.613855,403.005,0.75,26.361,267.40687647499266,1.8334150314331055
133,0.17,-16.613855,403.005,0.7575,25.839000000000002,191.20468024884008,1.8640482425689697
134,0.17,-16.613855,403.005,0.7575,26.1,194.86085445830366,1.8700542449951172
135,0.17,-16.613855,403.005,0.7575,26.361,198.5555968198653,1.8757526874542236
136,0.17,-16.44771645,398.995,0.7425,25.839000000000002,363.54363888316004,1.8568816184997559
137,0.17,-16.44771645,398.995,0.7425,26.1,370.50017334812594,1.8038251399993896
138,0.17,-16.44771645,398.995,0.7425,26.361,377.4973554260244,1.786611557006836
139,0.17,-16.44771645,398.995,0.75,25.839000000000002,280.2680729776474,2.1120665073394775
140,0.17,-16.44771645,398.995,0.75,26.1,285.5518298315659,1.8387794494628906
141,0.17,-16.44771645,398.995,0.75,26.361,290.8781234564563,1.8732044696807861
142,0.17,-16.44771645,398.995,0.7575,25.839000000000002,208.4588714317071,1.8759300708770752
143,0.17,-16.44771645,398.995,0.7575,26.1,212.29314863006098,1.868514060974121
144,0.17,-16.44771645,398.995,0.7575,26.361,216.33525231170867,1.8505125045776367
145,0.17,-16.44771645,401.0,0.7425,25.839000000000002,354.4800937914884,1.7942328453063965
146,0.17,-16.44771645,401.0,0.7425,26.1,361.4519438041396,1.8421263694763184
147,0.17,-16.44771645,401.0,0.7425,26.361,368.46553284337796,1.8914663791656494
148,0.17,-16.44771645,401.0,0.75,25.839000000000002,272.1975491146697,1.9113295078277588
149,0.17,-16.44771645,401.0,0.75,26.1,277.4625067531862,1.9172358512878418
150,0.17,-16.44771645,401.0,0.75,26.361,282.7708902355458,1.9281537532806396
151,0.17,-16.44771645,401.0,0.7575,25.839000000000002,201.97574687527882,1.968611717224121
152,0.17,-16.44771645,401.0,0.7575,26.1,205.7743157628912,1.9487144947052002
153,0.17,-16.44771645,401.0,0.7575,26.361,209.61189872431254,2.030426025390625
154,0.17,-16.44771645,403.005,0.7425,25.839000000000002,345.56674137466916,1.8885133266448975
155,0.17,-16.44771645,403.005,0.7425,26.1,352.37993038439447,1.9705309867858887
156,0.17,-16.44771645,403.005,0.7425,26.361,359.4103137198955,1.9098193645477295
157,0.17,-16.44771645,403.005,0.75,25.839000000000002,264.1532130571547,1.9399440288543701
158,0.17,-16.44771645,403.005,0.75,26.1,269.3988046629984,1.9409070014953613
159,0.17,-16.44771645,403.005,0.75,26.361,274.68875741987034,2.0007925033569336
160,0.17,-16.44771645,403.005,0.7575,25.839000000000002,195.54860994435856,1.9611258506774902
161,0.17,-16.44771645,403.005,0.7575,26.1,199.31083182460944,1.982438564300537
162,0.17,-16.44771645,403.005,0.7575,26.361,203.11261680480555,1.9719359874725342
163,0.17170000000000002,-16.77999355,398.995,0.7425,25.839000000000002,340.32094715857835,1.8879830837249756
164,0.17170000000000002,-16.77999355,398.995,0.7425,26.1,346.86873314498604,1.9523992538452148
165,0.17170000000000002,-16.77999355,398.995,0.7425,26.361,353.45443982222037,1.9181339740753174
166,0.17170000000000002,-16.77999355,398.995,0.75,25.839000000000002,264.6083718145276,1.9152169227600098
167,0.17170000000000002,-16.77999355,398.995,0.75,26.1,269.6905503333678,1.915235996246338
168,0.17170000000000002,-16.77999355,398.995,0.75,26.361,274.81461681630213,1.9313535690307617
169,0.17170000000000002,-16.77999355,398.995,0.7575,25.839000000000002,197.8186215769738,1.9460203647613525
170,0.17170000000000002,-16.77999355,398.995,0.7575,26.1,201.49793297163504,2.031158685684204
171,0.17170000000000002,-16.77999355,398.995,0.7575,26.361,205.2161894085128,1.9651014804840088
172,0.17170000000000002,-16.77999355,401.0,0.7425,25.839000000000002,331.4067166739339,2.0272023677825928
173,0.17170000000000002,-16.77999355,401.0,0.7425,26.1,337.9655774315756,1.9065020084381104
174,0.17170000000000002,-16.77999355,401.0,0.7425,26.361,344.56316761431196,1.9083385467529297
175,0.17170000000000002,-16.77999355,401.0,0.75,25.839000000000002,256.57577864829807,1.953568458557129
176,0.17170000000000002,-16.77999355,401.0,0.75,26.1,261.63601418448303,1.985785722732544
177,0.17170000000000002,-16.77999355,401.0,0.75,26.361,266.7390349750338,1.921875
178,0.17170000000000002,-16.77999355,401.0,0.7575,25.839000000000002,191.50815571718692,1.9491698741912842
179,0.17170000000000002,-16.77999355,401.0,0.7575,26.1,195.07012315587346,1.9401400089263916
180,0.17170000000000002,-16.77999355,401.0,0.7575,26.361,198.74168943713744,1.9550848007202148
181,0.17170000000000002,-16.77999355,403.005,0.7425,25.839000000000002,323.2113814247998,1.9831523895263672
182,0.17170000000000002,-16.77999355,403.005,0.7425,26.1,329.04802014012597,1.9019420146942139
183,0.17170000000000002,-16.77999355,403.005,0.7425,26.361,335.6575887198953,1.8954765796661377
184,0.17170000000000002,-16.77999355,403.005,0.75,25.839000000000002,248.57290955965223,1.9222922325134277
185,0.17170000000000002,-16.77999355,403.005,0.75,26.1,253.61048992021892,1.9251916408538818
186,0.17170000000000002,-16.77999355,403.005,0.75,26.361,258.6918004315233,2.0406653881073
187,0.17170000000000002,-16.77999355,403.005,0.7575,25.839000000000002,185.29703503116343,2.0690395832061768
188,0.17170000000000002,-16.77999355,403.005,0.7575,26.1,188.82364635935704,1.9772915840148926
189,0.17170000000000002,-16.77999355,403.005,0.7575,26.361,192.38621534940526,1.9460206031799316
190,0.17170000000000002,-16.613855,398.995,0.7425,25.839000000000002,349.7322392882719,1.872948169708252
191,0.17170000000000002,-16.613855,398.995,0.7425,26.1,356.4681257229062,1.8916847705841064
192,0.17170000000000002,-16.613855,398.995,0.7425,26.361,363.2421730707994,1.8952486515045166
193,0.17170000000000002,-16.613855,398.995,0.75,25.839000000000002,271.31438371089297,1.9715924263000488
194,0.17170000000000002,-16.613855,398.995,0.75,26.1,276.5425572301891,1.9104745388031006
195,0.17170000000000002,-16.613855,398.995,0.75,26.361,281.81342582323964,1.913832664489746
196,0.17170000000000002,-16.613855,398.995,0.7575,25.839000000000002,202.36343359198335,1.946265459060669
197,0.17170000000000002,-16.613855,398.995,0.7575,26.1,206.26695807253506,1.9753000736236572
198,0.17170000000000002,-16.613855,398.995,0.7575,26.361,210.21038548496904,2.0243353843688965
199,0.17170000000000002,-16.613855,401.0,0.7425,25.839000000000002,340.7638056878487,1.8897972106933594
200,0.17170000000000002,-16.613855,401.0,0.7425,26.1,347.51395350042725,1.8772222995758057
201,0.17170000000000002,-16.613855,401.0,0.7425,26.361,354.30325381269046,1.8889155387878418
202,0.17170000000000002,-16.613855,401.0,0.75,25.839000000000002,263.2020564117886,1.9206218719482422
203,0.17170000000000002,-16.613855,401.0,0.75,26.1,268.4100871620396,1.9178357124328613
204,0.17170000000000002,-16.613855,401.0,0.75,26.361,273.6617467215175,2.0021562576293945
205,0.17170000000000002,-16.613855,401.0,0.7575,25.839000000000002,195.69155736517018,1.9563369750976562
206,0.17170000000000002,-16.613855,401.0,0.7575,26.1,199.35289703818884,1.9587721824645996
207,0.17170000000000002,-16.613855,401.0,0.7575,26.361,203.13100554689902,1.9599721431732178
208,0.17170000000000002,-16.613855,403.005,0.7425,25.839000000000002,331.7714338824685,1.8917818069458008
209,0.17170000000000002,-16.613855,403.005,0.7425,26.1,338.53592117899734,1.8958942890167236
210,0.17170000000000002,-16.613855,403.005,0.7425,26.361,345.3406024595772,1.9445769786834717
211,0.17170000000000002,-16.613855,403.005,0.75,25.839000000000002,255.11541010570613,1.917497158050537
212,0.17170000000000002,-16.613855,403.005,0.75,26.1,260.30261179291574,1.9203822612762451
213,0.17170000000000002,-16.613855,403.005,0.75,26.361,265.5344261524468,1.830387830734253
214,0.17170000000000002,-16.613855,403.005,0.7575,25.839000000000002,189.40366592429186,1.8514978885650635
215,0.17170000000000002,-16.613855,403.005,0.7575,26.1,193.03019832034047,1.8955790996551514
216,0.17170000000000002,-16.613855,403.005,0.7575,26.361,196.69356281480134,1.960331678390503
217,0.17170000000000002,-16.44771645,398.995,0.7425,25.839000000000002,359.56794195169323,2.0147831439971924
218,0.17170000000000002,-16.44771645,398.995,0.7425,26.1,366.4987894161978,1.8784446716308594
219,0.17170000000000002,-16.44771645,398.995,0.7425,26.361,373.47668603534214,1.8813765048980713
220,0.17170000000000002,-16.44771645,398.995,0.75,25.839000000000002,278.27942686261434,1.907545566558838
221,0.17170000000000002,-16.44771645,398.995,0.75,26.1,283.65958038780224,1.9776067733764648
222,0.17170000000000002,-16.44771645,398.995,0.75,26.361,289.0832470840264,1.936222791671753
223,0.17170000000000002,-16.44771645,398.995,0.7575,25.839000000000002,207.29753495717972,1.935110092163086
224,0.17170000000000002,-16.44771645,398.995,0.7575,26.1,211.30731261968836,1.9586739540100098
225,0.17170000000000002,-16.44771645,398.995,0.7575,26.361,215.3606626113262,1.95784592628479
226,0.17170000000000002,-16.44771645,401.0,0.7425,25.839000000000002,350.5439104470402,1.7893638610839844
227,0.17170000000000002,-16.44771645,401.0,0.7425,26.1,357.4928694212877,1.851438045501709
228,0.17170000000000002,-16.44771645,401.0,0.7425,26.361,364.4811708239356,1.7922661304473877
229,0.17170000000000002,-16.44771645,401.0,0.75,25.839000000000002,270.0860523739629,1.8458003997802734
230,0.17170000000000002,-16.44771645,401.0,0.75,26.1,275.4480076812196,1.8988704681396484
231,0.17170000000000002,-16.44771645,401.0,0.75,26.361,280.8544475149157,1.907928705215454
232,0.17170000000000002,-16.44771645,401.0,0.7575,25.839000000000002,200.36757112621802,1.9599459171295166
233,0.17170000000000002,-16.44771645,401.0,0.7575,26.1,204.25091192504618,2.0160958766937256
234,0.17170000000000002,-16.44771645,401.0,0.7575,26.361,208.2082237881566,1.9496257305145264
235,0.17170000000000002,-16.44771645,403.005,0.7425,25.839000000000002,341.4919852001733,1.8830065727233887
236,0.17170000000000002,-16.44771645,403.005,0.7425,26.1,348.45963099625146,1.8765244483947754
237,0.17170000000000002,-16.44771645,403.005,0.7425,26.361,355.4676893274826,1.9018104076385498
238,0.17170000000000002,-16.44771645,403.005,0.75,25.839000000000002,261.91420342557234,2.0067708492279053
239,0.17170000000000002,-16.44771645,403.005,0.75,26.1,267.25730544066545,1.968756914138794
240,0.17170000000000002,-16.44771645,403.005,0.75,26.361,272.6459161153599,1.9445552825927734
241,0.17170000000000002,-16.44771645,403.005,0.7575,25.839000000000002,193.6682000717777,1.9851484298706055
242,0.17170000000000002,-16.44771645,403.005,0.7575,26.1,197.39884913729827,1.9788715839385986
243,0.17170000000000002,-16.44771645,403.005,0.7575,26.361,201.23347587428296,1.9629995822906494
244,0.17025900951779127,-16.700245725716922,401.75232732379595,0.7535271176864671,25.845389907880676,224.75313742451925,2.0097219944000244
245,0.16889314741916706,-16.603235390393188,400.68296680117555,0.7499369956593589,25.988677767451648,271.15429134587436,1.9273872375488281
246,0.17074748827863342,-16.549244387823073,401.06619577430513,0.7542271545261301,26.161009969163892,231.01276877332668,2.001507043838501
247,0.16926960140654926,-16.583223139710586,400.0387201926689,0.7532941886299023,26.093484668616295,243.80007214462225,1.9914870262145996
248,0.16984286699098655,-16.670419323579715,402.2255976920207,0.749420514442242,26.044103219207717,267.7494173286322,2.4345500469207764
249,0.16970068648208503,-16.569636461880243,401.366357674525,0.751547747293485,26.15622214089253,256.62326244104577,2.0270049571990967
250,0.1718204004607399,-16.647615600760183,400.4864766641058,0.7469483522690704,26.180385314646102,301.4293608165344,1.9451229572296143
251,0.17095962644881277,-16.623320532695484,400.15774313184505,0.7469081954411578,26.184902358811126,305.15025158016107,2.6090335845947266
252,0.17063176604552294,-16.568735568718733,400.3328265184431,0.7508706049615002,26.115227498092867,265.8340622401337,1.9876446723937988
253,0.17018588530721968,-16.54146604320171,401.2241545376466,0.7525459258615196,26.1088190685683,246.985691803701,1.9242384433746338
254,0.1702457514888865,-16.561414344763556,399.5392012905947,0.7488012329386601,26.038616368614793,288.9411708929168,1.9295413494110107
255,0.16945695382899317,-16.63671086733127,402.49867866451245,0.7467531333161503,26.22636032527419,298.5480208086936,1.9800145626068115
256,0.16856956069412657,-16.64167365664927,401.1631599477678,0.7521983337425973,26.19281506866297,250.83157898870533,1.941845178604126
257,0.17067434514991994,-16.642823338926,400.53649232785375,0.7532174095547143,26.075034785602952,237.97249195554966,1.9531078338623047
258,0.16891566662516277,-16.70799634723404,400.07824908328337,0.7518643527902016,26.11858655855721,253.51881379839745,1.9313251972198486
259,0.17058691255095762,-16.64934656757301,401.1589360403044,0.7523459639773775,26.05963027656651,243.59642310175607,1.9190661907196045
260,0.1703882589519238,-16.6688407080281,400.6360385188185,0.7485684828975062,25.94394292625063,280.1539539058568,2.254312515258789
261,0.17041392660866775,-16.652847912083946,401.0125253540245,0.7518027999708972,26.15827231847191,251.4866659230878,2.3691773414611816
262,0.17056557734262687,-16.622036117796224,400.57564344217576,0.749701056709101,25.879802856368478,269.72124841180874,1.9891440868377686
263,0.1687699543984404,-16.723730697841063,400.00026005532953,0.7514991533502129,25.98183498327551,254.33231052359588,1.9318442344665527
264,0.16967856182906654,-16.505929047243427,400.6428453690109,0.7527656833817515,25.97816289275871,246.5938633333107,1.9138562679290771
265,0.16982537807581252,-16.692772643335434,400.6601193414097,0.7531511555154652,25.8745846847734,233.91750130344366,1.9386534690856934
266,0.170369260097014,-16.59410647587257,400.40436466941395,0.7445772830460433,26.109412900756663,329.6233200642445,1.9558589458465576
267,0.16954993119729578,-16.594526755813018,401.02190677588726,0.7560066708424534,26.06876409061477,213.75631604631408,1.9345130920410156
268,0.16913002713127143,-16.598962702979016,401.2205466756817,0.7550969534071517,26.208982017591854,224.52600225888196,1.9700560569763184
269,0.1703033404002771,-16.49229948972099,399.8082650380413,0.7476009317521884,25.97908183964658,301.89278213021265,1.9382972717285156
270,0.16966866166731762,-16.72821532018005,401.63673882418146,0.7491666648858796,25.908059778567406,267.60349057096334,1.9159724712371826
271,0.1691367577809736,-16.58781163198985,401.84022188431413,0.7574877408438442,26.48025905181396,205.56584524029543,2.036231517791748
272,0.1703522480182846,-16.69605521421591,398.8626236035669,0.7510039179837894,25.993911187062004,263.1188983205371,1.9329767227172852
273,0.16964694632884728,-16.66470143732772,400.8588571363676,0.7539974258654537,26.12049483805162,231.14044175915006,1.9390530586242676
274,0.16986516038851712,-16.69988600639827,399.3211303479339,0.748176345340975,26.09298137711821,291.1869721397255,1.9961941242218018
275,0.1715027404265429,-16.603033189950278,401.9851963598006,0.7481276415054782,25.94536483848258,280.9678472193108,2.3311994075775146
276,0.1691796507521025,-16.67409900339209,403.13379090676625,0.7469197999529086,26.209422841087594,292.4051730323055,1.9705810546875
277,0.16923251189862604,-16.53646990521097,401.3859133435211,0.7494126078837822,26.09468049033933,278.3890461438796,2.0267231464385986
278,0.16944343045888502,-16.57680010562523,400.5438790609584,0.7454039783858728,25.93322914655129,317.70474674296634,1.9325432777404785
279,0.17014669973006383,-16.482681034171147,401.16039159260737,0.749555106277088,26.137300311218134,280.41123254249436,1.917933702468872
280,0.1711101014804508,-16.595631054664018,400.58804545108916,0.7541485826627246,26.155952715219243,231.41780704006948,1.9434103965759277
281,0.1713053925931966,-16.598633848144946,399.7724697957002,0.7448694030028288,26.31544609515618,331.7266681115718,1.912092924118042
282,0.1714651158626658,-16.628767530895956,400.61585471056117,0.7554804160959082,25.955530538493328,214.57868622243868,2.0143699645996094
283,0.16923948203388756,-16.56041430957711,400.60440836433327,0.7499807929997997,26.078670701742553,274.45704008044805,1.9356441497802734
284,0.1702869383664791,-16.49693650220502,401.090811369169,0.7524147704747882,25.832452540815453,245.10683009151205,1.9177284240722656
285,0.16995858935835942,-16.683901527211283,399.77813990692533,0.7467069286240172,26.056396890988545,303.8612018029023,1.9149696826934814
286,0.17077851716100262,-16.724037481427906,401.0307080713259,0.748184364624999,26.057238661185764,281.9248453060666,1.9039630889892578
287,0.17085234415150893,-16.569154140781777,402.3407416027114,0.7494206037028128,26.009179489176976,269.9634154579513,1.9055366516113281
288,0.1698097200056516,-16.593710967359275,401.17701479184984,0.7459335447291249,26.11180891650244,311.5484956461276,1.9895007610321045
289,0.17019399408061808,-16.404730256870735,402.88153672280987,0.7468003374354044,26.062496471317832,303.8334645244261,1.903738260269165
